Gene Symbol,Chronic Module,Escape Module,Resolver Module,Intramodular Connectivity – Chronic,Intramodular Connectivity – Escape,Intramodular Connectivity – Resolver
EMD,c3,e9,r3,0.722,0.492,0.178
EMG1,c3,e9,r9,0.516,0.485,0.306
EML4,c8,e2,r6,0.183,0.349,0.775
ENC1,c7,e9,r9,0.312,0.427,0.148
ENO1,c10,e9,r7,0.585,0.366,0.463
ENOPH1,c10,e9,r3,0.364,0.306,0.624
ENOSF1,c10,e9,r9,0.234,0.387,0.288
ENOX2,c1,e9,r9,0.284,0.507,0.370
ENTPD1,c10,e9,r9,0.326,0.321,0.448
ENTPD4,c10,e9,r9,0.292,0.301,0.340
ENTPD5,c10,e9,r7,0.169,0.454,0.273
EP400,c1,e2,r9,0.259,0.243,0.273
EPB41,c10,e9,r3,0.465,0.510,0.227
EPHA4,c10,e2,r6,0.242,0.409,0.578
EPHX1,c10,e2,r9,0.153,0.442,0.156
EPM2A,c10,e9,r9,0.184,0.736,0.255
EPRS,c1,e5,r9,0.349,0.294,0.716
EPS15,c10,e9,r2,0.312,0.409,0.685
EPS8L2,c10,e8,r5,0.241,0.532,0.212
ERAP1,c10,e8,r4,0.293,0.413,0.570
ERBIN,c1,e5,r9,0.292,0.531,0.711
ERCC3,c1,e9,r9,0.424,0.464,0.145
ERGIC2,c4,e9,r9,0.614,0.333,0.341
ERMAP,c10,e9,r9,0.589,0.335,0.176
ERMP1,c10,e9,r2,0.397,0.409,0.494
ERO1A,c10,e7,r5,0.354,0.373,0.211
ERO1B,c2,e9,r5,0.413,0.363,0.268
ERP44,c3,e9,r9,0.520,0.363,0.400
ESD,c10,e9,r9,0.360,0.501,0.413
ESF1,c2,e9,r3,0.337,0.391,0.439
ESRP2,c10,e9,r3,0.253,0.334,0.164
ESYT1,c6,e9,r2,0.537,0.604,0.606
ETF1,c1,e5,r5,0.288,0.806,0.291
ETFA,c10,e9,r2,0.615,0.516,0.439
ETFB,c8,e7,r7,0.564,0.151,0.423
ETHE1,c3,e9,r9,0.399,0.337,0.118
ETNK1,c1,e9,r9,0.392,0.694,0.572
ETS1,c8,e2,r1,0.473,0.221,0.522
ETS2,c7,e9,r3,0.332,0.517,0.104
ETV2,c10,e8,r3,0.238,0.448,0.187
ETV3,c1,e9,r5,0.295,0.456,0.392
ETV7,c10,e2,r3,0.158,0.235,0.136
EVI2B,c3,e9,r9,0.406,0.407,0.535
EVL,c6,e9,r2,0.857,0.721,0.671
EXOC1,c3,e9,r9,0.471,0.437,0.485
EXOC3,c10,e5,r9,0.310,0.275,0.167
EXOC7,c10,e9,r9,0.294,0.570,0.237
EXOG,c3,e9,r1,0.349,0.465,0.655
EXOSC2,c10,e9,r6,0.332,0.379,0.339
EXOSC7,c3,e9,r9,0.315,0.434,0.376
EXOSC8,c10,e9,r9,0.268,0.396,0.443
EXOSC9,c10,e9,r9,0.324,0.321,0.182
EXT1,c10,e9,r9,0.256,0.606,0.083
EZH1,c10,e9,r1,0.269,0.449,0.399
EZH2,c2,e9,r3,0.335,0.519,0.292
EZR,c1,e9,r5,0.608,0.412,0.762
F2R,c1,e9,r7,0.323,0.597,0.191
FADD,c10,e5,r9,0.509,0.212,0.300
FAF2,c10,e9,r9,0.270,0.435,0.325
FAM102A,c1,e9,r9,0.523,0.595,0.153
FAM105A,c10,e9,r6,0.235,0.500,0.317
FAM111A,c9,e9,r2,0.489,0.545,0.543
FAM118A,c3,e9,r7,0.570,0.650,0.242
FAM129A,c4,e9,r9,1.000,0.800,0.311
FAM134A,c10,e8,r9,0.534,0.496,0.414
FAM134C,c3,e9,r9,0.825,0.377,0.432
FAM136A,c10,e9,r9,0.438,0.531,0.355
FAM13B,c2,e5,r3,0.236,0.419,0.376
FAM168B,c10,e9,r9,0.272,0.415,0.216
FAM172A,c7,e9,r9,0.189,0.450,0.376
FAM175B,c10,e9,r3,0.325,0.499,0.339
FAM192A,c7,e2,r9,0.467,0.236,0.413
FAM193A,c3,e9,r9,0.375,0.650,0.289
FAM193B,c10,e9,r9,0.222,0.425,0.241
FAM208A,c7,e2,r2,0.224,0.307,0.597
FAM20B,c1,e2,r7,0.287,0.287,0.208
FAM21C,c9,e5,r9,0.478,0.379,0.437
FAM222B,c10,e2,r9,0.204,0.236,0.315
FAM32A,c5,e8,r9,0.356,0.690,0.312
FAM46C,c10,e9,r5,0.313,0.382,0.560
FAM49B,c10,e9,r9,0.481,0.538,0.221
FAM50A,c10,e7,r9,0.314,0.618,0.315
FAM53B,c10,e8,r9,0.624,0.208,0.216
FAM53C,c10,e5,r5,0.531,0.227,0.328
FAM65B,c1,e9,r2,0.325,0.454,0.577
FAM89B,c10,e2,r3,0.576,0.399,0.133
FAM8A1,c10,e2,r9,0.290,0.154,0.562
FAM96B,c10,e9,r9,0.435,0.626,0.190
FAM98A,c2,e9,r9,0.399,0.419,0.323
FAN1,c1,e5,r9,0.319,0.552,0.288
FANCI,c10,e9,r3,0.532,0.500,0.474
FANCL,c9,e2,r9,0.954,0.550,0.693
FAS,c10,e3,r9,0.469,0.367,0.448
FASLG,c10,e9,r3,0.335,0.599,0.133
FASN,c10,e9,r3,0.185,0.429,0.168
FASTKD3,c3,e9,r9,0.441,0.658,0.474
FBRS,c10,e9,r3,0.192,0.524,0.161
FBXL12,c3,e9,r9,0.406,0.451,0.181
FBXL5,c3,e9,r9,0.452,0.392,0.386
FBXO11,c10,e9,r3,0.276,0.406,0.476
FBXO21,c1,e9,r6,0.354,0.410,0.362
FBXO28,c3,e9,r9,0.602,0.447,0.320
FBXO34,c10,e3,r5,0.264,0.301,0.250
FBXO38,c4,e2,r6,0.633,0.360,0.399
FBXO41,c10,e9,r9,0.291,0.451,0.173
FBXO7,c2,e5,r9,0.326,0.253,0.220
FBXW11,c3,e5,r9,0.682,0.536,0.268
FBXW2,c1,e9,r2,0.354,0.723,0.602
FBXW4,c1,e9,r9,0.262,0.478,0.275
FCAR,c7,e7,r8,0.875,0.484,0.736
FCER1A,c10,e9,r8,0.198,0.377,0.694
FCER1G,c7,e7,r8,0.638,0.594,0.745
FCGBP,c10,e9,r5,0.296,0.404,0.180
FCHSD2,c9,e9,r3,0.601,0.419,0.249
FCMR,c10,e1,r2,0.533,0.268,0.469
FCN1,c7,e7,r8,0.964,0.721,0.876
FDFT1,c9,e3,r9,1.000,0.178,0.466
FDPS,c6,e9,r9,0.622,0.429,0.637
FDX1,c10,e9,r1,0.332,0.488,0.498
FDXR,c10,e5,r9,0.366,0.518,0.227
FECH,c10,e9,r9,0.341,0.317,0.444
FEM1C,c2,e9,r5,0.292,0.384,0.383
FEN1,c5,e9,r9,0.518,0.436,0.295
FEZ2,c3,e9,r9,0.330,0.390,0.364
FGF9,c10,e2,r5,0.249,0.302,0.231
FGFR1OP,c10,e9,r1,0.279,0.416,0.585
FGL2,c7,e2,r9,0.460,0.175,0.124
FGR,c7,e9,r8,0.760,0.323,0.340
FIBP,c5,e9,r2,0.501,0.423,0.539
FIG4,c7,e9,r9,0.308,0.528,0.237
FIP1L1,c10,e9,r9,0.381,0.470,0.346
FIS1,c10,e9,r9,0.417,0.572,0.248
FKBP15,c5,e9,r9,0.398,0.570,0.349
FKBP1A,c1,e9,r9,0.281,0.314,0.487
FKBP3,c10,e9,r2,0.386,0.382,0.654
FKBP4,c10,e9,r9,0.376,0.348,0.121
FKBP5,c10,e9,r1,0.234,0.384,0.545
FKBP8,c10,e9,r9,0.416,0.448,0.166
FLI1,c8,e2,r2,0.635,0.412,0.499
FLII,c10,e9,r1,0.478,0.643,0.509
FLNA,c5,e8,r6,0.434,0.376,0.377
FLOT1,c9,e2,r8,0.618,0.457,0.330
FLOT2,c8,e2,r9,0.483,0.507,0.303
FMR1,c1,e9,r9,0.355,0.462,1.000
FN3KRP,c3,e9,r9,0.549,0.558,0.215
FNBP4,c2,e9,r9,0.435,0.357,0.293
FNDC3B,c10,e9,r7,0.189,0.487,0.205
FNTA,c3,e2,r2,0.414,0.170,0.622
FOCAD,c5,e9,r9,0.298,0.560,0.432
FOLR3,c10,e8,r3,0.242,0.982,0.147
FOS,c1,e9,r5,0.843,0.349,0.659
FOSB,c1,e9,r5,0.666,0.405,0.750
FOSL2,c1,e9,r5,0.403,0.352,0.468
FOXH1,c3,e9,r9,0.461,0.526,0.103
FOXJ2,c3,e1,r9,0.522,0.357,0.197
FOXJ3,c10,e9,r9,0.197,0.465,0.223
FOXK2,c10,e9,r3,0.224,0.349,0.334
FOXM1,c10,e2,r9,0.324,0.156,0.424
FOXN3,c9,e2,r5,0.503,0.348,0.261
FOXO1,c10,e9,r5,0.241,0.454,0.318
FOXO3,c1,e8,r9,0.250,0.647,0.132
FOXO4,c10,e2,r6,0.270,0.357,0.346
FRAT2,c10,e9,r3,0.463,0.496,0.217
FRG1CP,c10,e9,r9,0.343,0.384,0.344
FRS2,c1,e2,r5,0.270,0.353,0.106
FRYL,c10,e9,r3,0.225,0.380,0.760
FTH1,c8,e3,r5,0.151,0.668,0.431
FTL,c10,e5,r7,0.288,0.244,0.475
FTO,c10,e9,r9,0.361,0.683,0.303
FTSJ2,c10,e6,r9,0.373,0.496,0.390
FTSJ3,c3,e2,r9,0.398,0.229,0.174
FUBP1,c2,e9,r3,0.263,0.529,0.391
FUBP3,c10,e1,r3,0.274,0.704,0.355
FUT8,c10,e2,r9,0.406,0.400,0.434
FXN,c3,e9,r5,0.232,0.574,0.137
FXR1,c10,e9,r9,0.335,0.314,0.315
FXYD5,c10,e9,r5,0.187,0.432,0.485
FYB,c8,e2,r2,0.469,0.351,0.547
FYCO1,c3,e1,r9,0.498,0.383,0.359
FYN,c4,e2,r6,0.877,0.814,0.990
G0S2,c7,e2,r8,0.891,0.262,0.710
G3BP1,c10,e9,r9,0.397,0.381,0.231
GABARAP,c3,e2,r9,0.424,0.303,0.292
GABARAPL1,c8,e2,r5,0.180,0.699,0.443
GABARAPL2,c1,e9,r9,0.274,0.502,0.242
GABBR1,c1,e2,r8,0.320,0.504,0.227
GABPA,c10,e9,r1,0.196,0.407,0.773
GABPB1,c3,e9,r3,0.459,0.474,0.306
GADD45A,c1,e5,r5,0.531,0.521,0.502
GADD45B,c1,e9,r5,0.807,0.610,0.858
GADD45G,c1,e5,r5,0.479,0.389,0.486
GALC,c5,e7,r9,0.399,0.538,0.218
GALK2,c1,e9,r9,0.309,0.451,0.382
GALNT1,c1,e9,r3,0.250,0.574,0.310
GALNT10,c2,e6,r9,0.287,0.572,0.262
GALNT11,c8,e9,r9,0.171,0.406,0.276
GALNT7,c3,e9,r3,0.535,0.425,0.420
GAPDH,c10,e9,r7,0.553,0.527,0.492
GATA3,c1,e5,r5,0.348,0.504,0.262
GBAS,c7,e9,r5,0.375,0.413,0.154
GBF1,c10,e9,r9,0.213,0.510,0.254
GBP1,c5,e9,r2,0.655,0.701,0.842
GCC2,c10,e9,r3,0.268,0.490,0.354
GCDH,c10,e9,r9,0.336,0.442,0.312
GCH1,c1,e9,r9,0.292,0.477,0.336
GCHFR,c10,e2,r7,0.298,0.383,0.325
GCLC,c10,e9,r9,0.243,0.530,0.333
GCN1,c10,e9,r4,0.283,0.329,0.442
GDE1,c10,e9,r1,0.199,0.416,0.503
GDI2,c5,e9,r9,0.489,0.417,0.614
GEMIN2,c3,e1,r5,0.559,0.645,0.121
GFI1,c3,e9,r1,0.631,0.504,0.506
GFOD1,c7,e2,r3,0.489,0.233,0.132
GFPT1,c1,e9,r5,0.304,0.558,0.337
GGA2,c10,e9,r6,0.435,0.976,0.867
GGCT,c5,e9,r2,0.553,0.495,0.553
GGPS1,c3,e1,r9,0.779,0.753,0.465
GID8,c8,e5,r3,0.488,0.279,0.318
GIMAP4,c6,e9,r2,0.785,0.502,0.681
GIMAP6,c5,e9,r2,0.504,0.467,0.678
GIPR,c8,e9,r3,0.121,0.464,0.279
GIT2,c3,e9,r9,0.372,0.396,0.640
GK,c10,e9,r3,0.197,0.397,0.114
GLA,c10,e9,r5,0.312,0.450,0.281
GLB1,c1,e9,r9,0.332,0.437,0.175
GLG1,c10,e9,r7,0.388,0.418,0.572
GLMN,c3,e9,r9,0.455,0.366,0.327
GLO1,c3,e9,r9,0.436,0.414,0.329
GLOD4,c3,e1,r9,0.455,0.399,0.380
GLRX,c10,e9,r9,0.386,0.488,0.377
GLS,c1,e9,r4,0.277,0.537,0.749
GLTSCR1L,c1,e9,r2,0.455,0.497,0.458
GLYR1,c10,e9,r6,0.268,0.792,0.318
GM2A,c7,e2,r9,0.388,0.278,0.214
GMFB,c10,e2,r5,0.290,0.254,0.168
GMFG,c8,e9,r2,0.540,0.727,0.538
GMIP,c10,e9,r7,0.256,0.529,0.216
GMPPA,c10,e9,r9,0.288,0.486,0.335
GMPPB,c1,e9,r6,0.306,0.313,0.300
GMPR2,c7,e9,r9,0.189,0.472,0.395
GNA13,c1,e4,r5,0.568,0.704,0.463
GNAI2,c8,e2,r7,0.555,0.448,0.733
GNB1,c7,e9,r9,0.176,0.454,0.336
GNL1,c3,e2,r8,0.546,0.310,0.137
GNL2,c2,e9,r5,0.401,0.415,0.301
GNL3L,c10,e9,r9,0.256,0.337,0.319
GNPAT,c3,e9,r9,0.604,0.372,0.365
GNPTAB,c2,e9,r9,0.463,0.407,0.383
GNS,c7,e9,r2,0.533,0.496,0.553
GOLGA2,c10,e9,r3,0.231,0.417,0.158
GOLGA3,c10,e2,r9,0.234,0.275,0.376
GOLGA4,c2,e9,r5,0.499,0.569,0.336
GOLGA7,c10,e9,r3,0.352,0.539,0.354
GOLGA8A,c2,e2,r3,0.534,0.305,0.348
GOLGB1,c3,e9,r3,0.880,0.395,0.344
GOLIM4,c10,e9,r3,0.259,0.413,0.259
GOLPH3,c1,e2,r6,0.250,0.382,0.419
GOLPH3L,c1,e9,r2,0.492,0.737,0.483
GOLT1B,c10,e9,r3,0.321,0.452,0.519
GORASP2,c1,e9,r5,0.255,0.443,0.162
GOSR2,c10,e9,r9,0.264,0.467,0.223
GOT1,c10,e9,r1,0.268,0.447,0.360
GOT2,c1,e8,r9,0.471,0.621,0.695
GPBP1L1,c1,e1,r9,0.304,0.599,0.356
GPD1L,c10,e9,r3,0.238,0.349,0.410
GPI,c10,e9,r9,0.509,0.354,0.223
GPKOW,c3,e9,r1,0.498,0.349,0.466
GPN1,c10,e9,r9,0.363,0.522,0.326
GPN2,c3,e9,r6,0.518,0.310,0.499
GPR137B,c3,e9,r3,0.414,0.353,0.299
GPR171,c3,e1,r9,0.497,0.585,0.448
GPR18,c3,e9,r9,0.313,0.365,0.516
GPR183,c7,e4,r8,0.192,0.485,0.516
GPR65,c5,e9,r9,0.412,0.419,0.342
GPSM2,c3,e5,r9,0.387,0.291,0.144
GPSM3,c8,e2,r7,0.479,0.279,0.484
GRAMD1B,c4,e9,r6,0.630,0.645,0.454
GRAP2,c10,e9,r9,0.273,0.435,0.299
GRHPR,c10,e5,r7,0.509,0.217,0.246
GRK5,c4,e2,r9,0.446,0.510,0.237
GRPEL1,c10,e9,r8,0.420,0.320,0.272
GSDMB,c1,e9,r3,0.260,0.342,0.318
GSDMD,c5,e9,r9,0.347,0.439,0.333
GSE1,c10,e9,r9,0.328,0.492,0.350
GSPT1,c2,e9,r6,0.390,0.473,0.800
GSR,c8,e9,r9,0.380,0.348,0.373
GSS,c6,e9,r9,0.638,0.361,0.158
GSTK1,c9,e8,r2,0.728,0.751,0.691
GSTO1,c5,e9,r9,0.684,0.309,0.798
GSTP1,c10,e9,r7,0.425,0.383,0.370
GSTZ1,c10,e9,r9,0.398,0.354,0.290
GTDC1,c10,e9,r3,0.477,0.332,0.283
GTF2A1,c4,e9,r9,0.705,0.313,0.283
GTF2A2,c1,e5,r9,0.243,0.406,0.317
GTF2B,c10,e7,r5,0.206,0.169,0.462
GTF2E1,c3,e9,r9,0.790,0.382,0.689
GTF2E2,c3,e5,r9,0.424,0.384,0.244
GTF2F2,c1,e9,r5,0.457,0.378,0.194
GTF2H5,c10,e9,r2,0.358,0.467,0.505
GTF2I,c10,e5,r9,0.216,0.212,0.365
GTF3A,c9,e2,r9,0.675,0.239,0.320
GTF3C2,c10,e9,r4,0.260,0.329,0.467
GTF3C3,c1,e5,r9,0.240,0.402,0.451
GTPBP4,c2,e9,r3,0.429,0.297,0.352
GTPBP8,c10,e9,r9,0.270,0.323,0.372
GUK1,c10,e9,r3,0.469,0.375,0.103
GUSB,c10,e9,r9,0.407,0.334,0.292
GUSBP11,c3,e9,r3,0.312,0.376,0.105
GVINP1,c10,e8,r2,0.240,0.819,0.755
GYG1,c10,e2,r9,0.426,0.487,0.567
GYPC,c8,e3,r7,0.404,0.699,0.546
GZMA,c8,e2,r2,0.968,0.576,0.785
GZMB,c10,e9,r9,0.295,0.386,0.329
GZMH,c10,e9,r9,0.384,0.520,0.389
GZMK,c8,e2,r9,0.628,0.355,0.352
GZMM,c10,e9,r3,0.533,0.436,0.107
H1FX,c10,e2,r3,0.525,0.451,0.123
H2AFY,c7,e9,r9,0.462,0.391,0.454
H2AFZ,c10,e5,r7,0.344,0.607,0.292
HACD3,c10,e9,r9,0.309,0.424,0.398
HADHA,c10,e9,r1,0.387,0.351,0.567
HADHB,c1,e9,r9,0.345,0.401,0.334
HAGH,c10,e9,r9,0.351,0.457,0.277
HARS2,c3,e3,r5,0.434,0.834,0.145
HAT1,c10,e9,r3,0.315,0.440,0.333
HAUS3,c1,e9,r5,0.339,0.479,0.353
HAUS4,c8,e9,r2,0.468,0.439,0.544
HAUS5,c10,e5,r9,0.317,0.313,0.231
HAX1,c1,e9,r9,0.433,0.527,0.174
HBG2,c1,e9,r3,0.470,0.359,0.172
HBS1L,c2,e4,r3,0.521,0.262,0.855
HCFC1R1,c1,e9,r7,0.252,0.480,0.351
HCG26,c10,e9,r9,0.231,0.396,0.377
HCLS1,c10,e6,r2,0.368,0.504,0.633
HCP5,c4,e5,r5,0.499,0.327,0.360
HDAC1,c10,e9,r9,0.462,0.405,0.514
HDAC2,c2,e9,r9,0.242,0.426,0.466
HDAC3,c6,e9,r9,0.550,0.426,0.349
HDAC4,c4,e9,r9,0.513,0.435,0.435
HDGF,c3,e9,r9,0.767,0.416,0.294
HDLBP,c10,e6,r9,0.407,0.195,0.222
HEATR1,c2,e9,r3,0.389,0.382,0.310
HEBP2,c2,e9,r9,0.335,0.395,0.257
HECTD3,c3,e6,r9,0.599,0.287,0.282
HECTD4,c10,e2,r3,0.352,0.395,0.265
HEG1,c10,e5,r1,0.293,0.424,0.277
HELZ,c10,e9,r1,0.264,0.468,0.500
HEMK1,c10,e2,r9,0.277,0.362,0.219
HERC1,c3,e9,r3,0.681,0.355,0.483
HERC2,c1,e5,r3,0.304,0.299,0.469
HERC5,c1,e4,r5,0.226,0.707,0.224
HERC6,c10,e9,r9,0.315,0.363,0.520
HERPUD1,c5,e8,r5,0.336,0.229,0.437
HEXB,c6,e9,r9,0.585,0.288,0.456
HEXIM1,c1,e5,r5,0.605,0.667,0.342
HEY1,c1,e9,r8,0.498,0.356,0.352
HGSNAT,c4,e2,r3,0.750,0.688,0.263
HIBCH,c10,e9,r9,0.264,0.381,0.752
HIF1A,c2,e5,r3,0.460,0.398,0.326
HIF1AN,c1,e9,r9,0.441,0.516,0.423
HIGD1A,c3,e9,r9,0.518,0.455,0.440
HIGD2A,c8,e9,r7,0.385,0.398,0.351
HIP1R,c10,e9,r3,0.164,0.346,0.223
HIPK1,c2,e9,r5,0.181,0.487,0.483
HIRA,c10,e9,r3,0.540,0.344,0.482
HIST1H1A,c8,e9,r7,0.381,0.398,0.386
HIST1H1B,c8,e2,r7,0.428,0.198,0.389
HIST1H1C,c8,e9,r7,0.684,0.577,0.875
HIST1H1D,c8,e9,r7,0.801,0.410,0.945
HIST1H1E,c8,e9,r7,0.574,0.514,1.000
HIST1H2AB,c10,e5,r7,0.279,0.276,0.724
HIST1H2AE,c8,e9,r7,0.402,0.344,0.704
HIST1H2AK,c10,e9,r7,0.284,0.441,0.628
HIST1H2AL,c8,e1,r7,0.536,0.351,0.687
HIST1H2AM,c8,e9,r7,0.283,0.367,0.546
HIST1H2BB,c8,e9,r7,0.505,0.354,0.394
HIST1H2BD,c1,e9,r7,0.259,0.372,0.597
HIST1H2BE,c8,e9,r7,0.459,0.583,0.718
HIST1H2BF,c8,e9,r7,0.612,0.395,0.903
HIST1H2BG,c8,e5,r7,0.506,0.427,0.302
HIST1H2BH,c8,e9,r7,0.507,0.581,0.971
HIST1H2BI,c8,e9,r7,0.548,0.460,0.643
HIST1H2BL,c8,e9,r9,0.491,0.451,0.380
HIST1H3A,c10,e9,r5,0.322,0.382,0.366
HIST1H3B,c8,e9,r7,0.547,0.331,0.491
HIST1H3C,c8,e5,r7,0.418,0.270,0.335
HIST1H3D,c10,e9,r7,0.355,0.432,0.399
HIST1H3G,c8,e9,r7,0.721,0.382,0.733
HIST1H3I,c8,e9,r7,0.501,0.451,0.878
HIST1H4B,c8,e9,r9,0.420,0.359,0.252
HIST1H4C,c10,e9,r7,0.471,0.430,0.462
HIST1H4D,c8,e3,r7,0.361,0.457,0.588
HIST1H4E,c8,e9,r7,0.536,0.486,0.906
HIST1H4H,c10,e9,r7,0.524,0.289,0.424
HIST1H4L,c10,e9,r7,0.540,0.354,0.397
HIVEP1,c2,e4,r9,0.469,0.475,0.127
HIVEP2,c1,e9,r9,0.292,0.325,0.283
HLA-DMA,c8,e2,r1,0.744,0.212,0.353
HLA-DMB,c5,e9,r9,0.534,0.267,0.251
HLA-DPA1,c8,e9,r9,0.651,0.335,0.253
HLA-DPB1,c10,e9,r9,0.659,0.534,0.268
HLA-DQA1,c10,e9,r9,0.595,0.429,0.352
HLA-DQB1,c10,e9,r9,0.708,0.455,0.248
HLA-DRA,c8,e9,r9,0.552,0.298,0.258
HLA-DRB1,c8,e9,r9,0.618,0.410,0.261
HLA-DRB6,c10,e9,r8,0.416,0.355,0.434
HLA-F-AS1,c1,e2,r5,0.554,0.244,0.484
HLTF,c1,e2,r9,0.210,0.253,0.344
HMBOX1,c3,e9,r9,0.435,0.635,0.501
HMBS,c10,e9,r9,0.222,0.488,0.166
HMGA1,c2,e9,r7,0.250,0.354,0.226
HMGCL,c1,e9,r9,0.209,0.395,0.531
HMGCR,c2,e4,r5,0.372,0.856,0.149
HMGCS1,c1,e9,r5,0.352,0.456,0.329
HMGN3,c8,e2,r9,0.297,0.266,0.910
HMGN4,c1,e9,r9,0.433,0.434,0.539
HMGXB3,c1,e9,r9,0.353,0.785,0.227
HMOX2,c10,e9,r9,0.292,0.594,0.469
HN1,c8,e9,r9,0.494,0.396,0.445
HNRNPA1,c1,e9,r5,0.638,0.487,0.205
HNRNPF,c10,e2,r9,0.599,0.620,0.241
HNRNPH1,c1,e2,r5,0.725,0.429,0.803
HNRNPUL1,c10,e2,r3,0.208,0.857,0.149
HOPX,c10,e9,r9,0.300,0.786,0.287
HOXB3,c10,e6,r3,0.182,0.326,0.253
HP1BP3,c8,e9,r7,0.287,0.405,0.271
HPRT1,c3,e9,r9,0.560,0.489,0.394
HSBP1,c5,e2,r9,0.419,0.481,0.413
HSD17B10,c10,e8,r9,0.473,0.545,0.197
HSD17B11,c3,e9,r9,0.477,0.398,0.485
HSD17B12,c10,e9,r9,0.291,0.565,0.290
HSD17B8,c3,e9,r9,0.395,0.602,0.200
HSF2,c2,e4,r5,0.586,0.535,0.161
HSPA13,c2,e9,r9,0.326,0.554,0.284
HSPA14,c1,e2,r5,0.246,0.530,0.264
HSPA1A,c10,e9,r9,0.393,0.370,0.341
HSPA1B,c10,e1,r3,0.235,0.422,0.240
HSPA1L,c10,e9,r9,0.270,0.386,0.476
HSPA2,c1,e9,r5,0.401,0.319,0.288
HSPA4,c2,e9,r3,0.331,0.360,0.244
HSPA6,c10,e9,r3,0.179,0.395,0.188
HSPA9,c1,e4,r5,0.825,0.836,0.425
HSPB11,c5,e9,r9,0.564,0.379,0.654
HSPBAP1,c10,e9,r3,0.283,0.599,0.224
HSPH1,c2,e5,r5,0.378,0.750,0.437
HTATIP2,c1,e9,r9,0.420,0.459,0.358
HUS1,c10,e9,r9,0.229,0.416,0.433
HUWE1,c10,e2,r5,0.307,0.426,0.373
HYOU1,c3,e9,r9,0.493,0.508,0.234
IARS,c1,e9,r9,0.330,0.480,0.779
IARS2,c10,e9,r9,0.340,0.407,0.491
IBTK,c3,e9,r3,0.268,0.537,0.478
ICAM1,c7,e9,r8,0.593,0.407,0.328
ICAM3,c9,e9,r9,0.720,0.517,0.462
ICE1,c10,e9,r3,0.236,0.403,0.338
ICE2,c10,e9,r9,0.287,0.608,0.646
ICOS,c7,e2,r5,0.115,0.451,0.331
ICT1,c10,e9,r9,0.417,0.490,0.579
ID1,c1,e9,r7,0.355,0.314,0.403
ID2,c1,e9,r5,0.403,0.433,0.499
IDH2,c10,e7,r9,0.707,0.813,0.363
IDH3B,c10,e5,r7,0.410,0.487,0.250
IDH3G,c1,e9,r1,0.296,0.560,0.409
IDI1,c1,e5,r5,0.578,0.637,0.682
IDI2-AS1,c1,e5,r5,0.436,0.449,0.498
IDS,c1,e2,r5,0.514,0.372,0.433
IER2,c1,e9,r5,0.497,0.888,0.613
IER3,c7,e7,r5,0.689,0.362,0.523
IER5,c1,e5,r5,0.742,0.370,0.633
IFFO1,c10,e6,r9,0.261,0.236,0.517
IFI16,c1,e9,r2,0.256,0.373,0.449
IFI30,c10,e7,r8,0.513,0.557,0.542
IFI44,c10,e9,r9,0.277,0.437,0.296
IFI44L,c10,e9,r9,0.215,0.565,0.325
IFI6,c8,e9,r9,0.325,0.535,0.765
IFIH1,c10,e5,r9,0.261,0.339,0.469
IFITM1,c7,e2,r9,0.566,0.346,0.400
IFITM2,c8,e2,r9,0.480,0.454,0.130
IFNAR2,c1,e2,r9,0.351,0.262,0.574
IFNG,c1,e5,r9,0.555,0.289,0.189
IFNGR1,c2,e9,r5,0.645,0.455,0.523
IFRD1,c1,e5,r5,0.768,0.697,0.364
IFT20,c10,e9,r3,0.498,0.520,0.244
IFT52,c10,e9,r9,0.611,0.401,0.205
IFT57,c10,e9,r9,0.178,0.627,0.249
IFT88,c1,e9,r9,0.383,0.336,0.325
IGBP1,c10,e9,r9,0.457,0.397,0.273
IGF2R,c10,e9,r9,0.322,0.409,0.283
IGKC,c1,e7,r8,0.226,0.669,0.543
IKBKAP,c10,e3,r9,0.261,0.690,0.306
IKZF3,c6,e9,r4,0.620,0.394,0.678
IKZF5,c10,e5,r5,0.289,0.359,0.458
IL10RA,c10,e9,r2,0.492,0.490,0.476
IL10RB,c10,e5,r9,0.394,0.328,0.411
IL11RA,c1,e9,r3,0.263,0.517,0.250
IL18RAP,c10,e9,r3,0.221,0.415,0.386
IL1B,c7,e2,r8,0.861,0.285,0.788
IL21R,c10,e2,r5,0.216,0.353,0.537
IL24,c10,e9,r9,0.397,0.459,0.710
IL27RA,c10,e5,r3,0.235,0.409,0.261
IL2RB,c3,e1,r9,0.513,0.877,0.256
IL2RG,c6,e2,r9,0.575,0.316,0.715
IL32,c8,e2,r7,0.844,0.488,0.778
IL4R,c10,e9,r3,0.214,0.347,0.238
IL6,c7,e7,r3,0.272,0.314,0.193
IL6ST,c1,e9,r3,0.637,0.509,0.611
IL7R,c10,e1,r5,0.197,0.622,0.203
ILK,c1,e5,r9,0.435,0.143,0.282
IMMT,c10,e1,r9,0.276,0.596,0.350
IMP3,c3,e2,r9,0.386,0.383,0.540
IMPA1,c10,e2,r9,0.478,0.550,0.392
IMPAD1,c10,e9,r5,0.343,0.374,0.213
IMPDH1,c1,e9,r9,0.241,0.432,0.359
IMPDH2,c1,e9,r9,0.334,0.423,0.337
ING3,c10,e9,r3,0.239,0.498,0.220
INO80D,c1,e9,r5,0.285,0.314,0.464
