Gene,Set,Signature Type
TNFSF8,AM02,doering module
TTC28,AM02,doering module
TTC3,AM02,doering module
TULP4,AM02,doering module
USP24,AM02,doering module
USP33,AM02,doering module
UTRN,AM02,doering module
VIM,AM02,doering module
VIPR1,AM02,doering module
VPS13A,AM02,doering module
ZBTB44,AM02,doering module
ZDHHC17,AM02,doering module
ZNF318,AM02,doering module
ZNF445,AM02,doering module
ZNF652,AM02,doering module
ZNF827,AM02,doering module
ZMYM2,AM02,doering module
ZMYM4,AM02,doering module
TRAPPC2B,AM12,doering module
TRAPPC2,AM12,doering module
KIAA1841,AM12,doering module
KIAA1109,AM12,doering module
ACADL,AM12,doering module
APIP,AM12,doering module
APOO,AM12,doering module
ASNS,AM12,doering module
ATP6V1E1,AM12,doering module
BLVRA,AM12,doering module
BSPRY,AM12,doering module
CAPG,AM12,doering module
CASP3,AM12,doering module
CD160,AM12,doering module
CDKN1A,AM12,doering module
CENPL,AM12,doering module
CENPO,AM12,doering module
CEP76,AM12,doering module
CNIH4,AM12,doering module
CRELD2,AM12,doering module
CTLA4,AM12,doering module
DBF4,AM12,doering module
DYNLL2,AM12,doering module
E2F3,AM12,doering module
EHD4,AM12,doering module
EMD,AM12,doering module
FH,AM12,doering module
GADD45B,AM12,doering module
GLMN,AM12,doering module
GLOD4,AM12,doering module
HAT1,AM12,doering module
HIF1A,AM12,doering module
HSPA13,AM12,doering module
IL2RA,AM12,doering module
LMAN2,AM12,doering module
LSM5,AM12,doering module
M6PR,AM12,doering module
MAP2K3,AM12,doering module
MLKL,AM12,doering module
MRPL13,AM12,doering module
MRPL22,AM12,doering module
MRPL27,AM12,doering module
MRPL46,AM12,doering module
MRPS23,AM12,doering module
MTHFD2,AM12,doering module
MTRF1,AM12,doering module
NAB1,AM12,doering module
NDUFS8,AM12,doering module
PNP,AM12,doering module
POLR2D,AM12,doering module
PRDX2,AM12,doering module
PSMA1,AM12,doering module
PSMB7,AM12,doering module
RPA3,AM12,doering module
SAR1B,AM12,doering module
SCPEP1,AM12,doering module
SGCB,AM12,doering module
SLC25A40,AM12,doering module
SMN2,AM12,doering module
SMN1,AM12,doering module
SMURF2,AM12,doering module
SNRNP25,AM12,doering module
SSR3,AM12,doering module
STARD3NL,AM12,doering module
STARD4,AM12,doering module
TARS,AM12,doering module
TBCB,AM12,doering module
TMBIM4,AM12,doering module
TMEM14C,AM12,doering module
TMEM14B,AM12,doering module
TMEM41B,AM12,doering module
TNFSF9,AM12,doering module
TRIM56,AM12,doering module
TSPAN31,AM12,doering module
UBE2NL,AM12,doering module
UFC1,AM12,doering module
UFM1,AM12,doering module
VPS45,AM12,doering module
TCEAL9,AM12,doering module
XBP1,AM12,doering module
YPEL1,AM12,doering module
CDK9,AM08,doering module
CRTAM,AM08,doering module
FAM58A,AM08,doering module
HMGCS1,AM08,doering module
KBTBD3,AM08,doering module
SMPDL3A,AM08,doering module
SNORD35A,AM08,doering module
SNORD38A,AM08,doering module
SNORD49A,AM08,doering module
CXorf40A,AM05,doering module
CXorf40B,AM05,doering module
C1orf21,AM05,doering module
CXorf21,AM05,doering module
C15orf48,AM05,doering module
ACOT7,AM05,doering module
ACTN1,AM05,doering module
AHNAK,AM05,doering module
AIM1,AM05,doering module
ANXA1,AM05,doering module
AP3S1,AM05,doering module
ARHGAP18,AM05,doering module
ARHGAP26,AM05,doering module
ARL5B,AM05,doering module
AS3MT,AM05,doering module
ASRGL1,AM05,doering module
ATF6,AM05,doering module
ATP1B1,AM05,doering module
ATP2B4,AM05,doering module
ATP6V1G3,AM05,doering module
ATXN7L1,AM05,doering module
BCL2A1,AM05,doering module
BHLHE40,AM05,doering module
CAMK2N1,AM05,doering module
CASP1,AM05,doering module
CCDC50,AM05,doering module
CCL18,AM05,doering module
CCL3,AM05,doering module
CCL3L3,AM05,doering module
CCL4,AM05,doering module
CCL4L2,AM05,doering module
CCL5,AM05,doering module
CCL15,AM05,doering module
CCL23,AM05,doering module
CCL15-CCL14,AM05,doering module
CCR2,AM05,doering module
CD38,AM05,doering module
CD44,AM05,doering module
CDC42EP3,AM05,doering module
CEP97,AM05,doering module
CHPT1,AM05,doering module
CHSY1,AM05,doering module
COBLL1,AM05,doering module
CRYBG3,AM05,doering module
CXCR3,AM05,doering module
CXCR6,AM05,doering module
CYSLTR2,AM05,doering module
CYTH3,AM05,doering module
DAPK2,AM05,doering module
DAPL1,AM05,doering module
DENND4A,AM05,doering module
DNAJC15,AM05,doering module
DOCK5,AM05,doering module
DSTN,AM05,doering module
EMP1,AM05,doering module
ENTPD1,AM05,doering module
ESM1,AM05,doering module
F2RL2,AM05,doering module
FAM49A,AM05,doering module
FASLG,AM05,doering module
FCGR2B,AM05,doering module
FCGR2C,AM05,doering module
FCGR2A,AM05,doering module
FYN,AM05,doering module
GABARAPL2,AM05,doering module
GALNT3,AM05,doering module
GEM,AM05,doering module
GGH,AM05,doering module
GIMAP7,AM05,doering module
GNG2,AM05,doering module
GNPTAB,AM05,doering module
GOLIM4,AM05,doering module
GZMA,AM05,doering module
GZMM,AM05,doering module
H1F0,AM05,doering module
HIST1H1C,AM05,doering module
HOPX,AM05,doering module
HSPB11,AM05,doering module
IFNG,AM05,doering module
IFT80,AM05,doering module
IKZF2,AM05,doering module
IL12RB2,AM05,doering module
IL18R1,AM05,doering module
IL18RAP,AM05,doering module
IL6ST,AM05,doering module
INSL6,AM05,doering module
ITGA1,AM05,doering module
ITGAX,AM05,doering module
ITGB1,AM05,doering module
KCNJ8,AM05,doering module
KLRB1,AM05,doering module
KLRC4-KLRK1,AM05,doering module
KLRC4,AM05,doering module
KLRC1,AM05,doering module
KLRC3,AM05,doering module
KLRC2,AM05,doering module
KLRG1,AM05,doering module
KLRK1,AM05,doering module
LACTB2,AM05,doering module
LCLAT1,AM05,doering module
LPIN1,AM05,doering module
LRRFIP2,AM05,doering module
MAP3K8,AM05,doering module
MAPRE2,AM05,doering module
METTL7A,AM05,doering module
MTHFS,AM05,doering module
ST20-MTHFS,AM05,doering module
NFIL3,AM05,doering module
NKG7,AM05,doering module
NRP1,AM05,doering module
NUDT4,AM05,doering module
PDK1,AM05,doering module
PHLDA1,AM05,doering module
PIK3AP1,AM05,doering module
PLEK,AM05,doering module
PLEKHO1,AM05,doering module
PLSCR2,AM05,doering module
PLSCR1,AM05,doering module
PMAIP1,AM05,doering module
PPIC,AM05,doering module
PPM1J,AM05,doering module
PRDM1,AM05,doering module
PRF1,AM05,doering module
PRKX,AM05,doering module
PTPN13,AM05,doering module
PTPRJ,AM05,doering module
RALGPS2,AM05,doering module
RAP2A,AM05,doering module
RGS1,AM05,doering module
RILPL2,AM05,doering module
RNF213,AM05,doering module
RNF216,AM05,doering module
RORA,AM05,doering module
RRAS2,AM05,doering module
RUNX2,AM05,doering module
S100A13,AM05,doering module
S100A4,AM05,doering module
S100A6,AM05,doering module
S1PR5,AM05,doering module
SAMD3,AM05,doering module
SELL,AM05,doering module
SERPINB6,AM05,doering module
C8orf44-SGK3,AM05,doering module
SGK3,AM05,doering module
SLA,AM05,doering module
SLAMF7,AM05,doering module
SLC4A7,AM05,doering module
SLC9A7,AM05,doering module
SMPDL3B,AM05,doering module
SNORD118,AM05,doering module
SNX10,AM05,doering module
ST3GAL6,AM05,doering module
STARD10,AM05,doering module
SYTL2,AM05,doering module
TBX21,AM05,doering module
TET1,AM05,doering module
TM6SF1,AM05,doering module
TMEM140,AM05,doering module
TRIP4,AM05,doering module
TTC39B,AM05,doering module
TTC39C,AM05,doering module
WFIKKN2,AM05,doering module
ZDHHC2,AM05,doering module
ZEB2,AM05,doering module
KIAA1551,AM03,doering module
AKAP9,AM03,doering module
ANKRD12,AM03,doering module
ARID4A,AM03,doering module
ARID4B,AM03,doering module
ARID5B,AM03,doering module
BOD1L1,AM03,doering module
PHF20L1,AM03,doering module
PIBF1,AM03,doering module
PRPF39,AM03,doering module
RASA1,AM03,doering module
RB1CC1,AM03,doering module
SAMD9L,AM03,doering module
ZNF519,AM03,doering module
ZUFSP,AM03,doering module
LINC00116,AM13,doering module
ACAA2,AM13,doering module
APEX1,AM13,doering module
ATP5G2,AM13,doering module
UTP4,AM13,doering module
ENTPD5,AM13,doering module
KIF1C,AM13,doering module
LSM7,AM13,doering module
LY6E,AM13,doering module
MBOAT1,AM13,doering module
MMD,AM13,doering module
MRPS18B,AM13,doering module
MYBBP1A,AM13,doering module
NOP16,AM13,doering module
NSFL1C,AM13,doering module
PHB,AM13,doering module
PHPT1,AM13,doering module
PPP1R14B,AM13,doering module
PRPS2,AM13,doering module
PSMG1,AM13,doering module
RARS2,AM13,doering module
RCN3,AM13,doering module
RPLP1,AM13,doering module
RPSA,AM13,doering module
SFT2D2,AM13,doering module
SIT1,AM13,doering module
SLC39A10,AM13,doering module
TP53,AM13,doering module
TSR1,AM13,doering module
WDR12,AM13,doering module
ABCF2,AM09,doering module
ACO2,AM09,doering module
ACP1,AM09,doering module
ADAM19,AM09,doering module
ADIPOR2,AM09,doering module
ADK,AM09,doering module
AIMP2,AM09,doering module
AK2,AM09,doering module
ALG8,AM09,doering module
ANAPC5,AM09,doering module
AP3M1,AM09,doering module
APOBEC3H,AM09,doering module
ARF1,AM09,doering module
ARHGDIA,AM09,doering module
ARL6IP1,AM09,doering module
ASS1,AM09,doering module
ATP1A1,AM09,doering module
ATPAF2,AM09,doering module
AVEN,AM09,doering module
BLMH,AM09,doering module
BTG1,AM09,doering module
BUB3,AM09,doering module
CDC123,AM09,doering module
CDC14A,AM09,doering module
CDC27,AM09,doering module
CDCA7,AM09,doering module
CDK4,AM09,doering module
CDKN1B,AM09,doering module
CHTF8,AM09,doering module
CINP,AM09,doering module
CLCC1,AM09,doering module
CLDND1,AM09,doering module
COPS4,AM09,doering module
COQ7,AM09,doering module
CTPS1,AM09,doering module
CYP51A1,AM09,doering module
DCK,AM09,doering module
DDB1,AM09,doering module
DDX1,AM09,doering module
DDX39A,AM09,doering module
DIS3,AM09,doering module
DSCR3,AM09,doering module
DTYMK,AM09,doering module
EIF1AD,AM09,doering module
EIF2B1,AM09,doering module
EIF3B,AM09,doering module
EIF3L,AM09,doering module
EIF4A1,AM09,doering module
ENO1,AM09,doering module
ERGIC1,AM09,doering module
ERH,AM09,doering module
EXOSC2,AM09,doering module
FAM136A,AM09,doering module
G6PD,AM09,doering module
GANAB,AM09,doering module
GCSH,AM09,doering module
GEMIN6,AM09,doering module
GOT2,AM09,doering module
GPI,AM09,doering module
GPX1,AM09,doering module
GSTO1,AM09,doering module
HADH,AM09,doering module
HAUS1,AM09,doering module
HAUS6,AM09,doering module
HBA1,AM09,doering module
HBA2,AM09,doering module
HDAC1,AM09,doering module
HEATR3,AM09,doering module
HMBS,AM09,doering module
HMGCR,AM09,doering module
HSD17B12,AM09,doering module
HSPA9,AM09,doering module
HUS1,AM09,doering module
HYOU1,AM09,doering module
IARS,AM09,doering module
IDH3A,AM09,doering module
IMPA2,AM09,doering module
IMPDH2,AM09,doering module
INTS2,AM09,doering module
INTS7,AM09,doering module
IPO5,AM09,doering module
ISG20,AM09,doering module
ITPA,AM09,doering module
KPNA3,AM09,doering module
LAGE3,AM09,doering module
LANCL2,AM09,doering module
LBR,AM09,doering module
LMBRD2,AM09,doering module
LRRC40,AM09,doering module
LZIC,AM09,doering module
MBD4,AM09,doering module
MBNL3,AM09,doering module
MEMO1,AM09,doering module
MFSD1,AM09,doering module
MIF,AM09,doering module
MIPEP,AM09,doering module
MORF4L2,AM09,doering module
MPDU1,AM09,doering module
MRPL17,AM09,doering module
MRPS18A,AM09,doering module
MRPS22,AM09,doering module
MRTO4,AM09,doering module
MTBP,AM09,doering module
MTHFD1,AM09,doering module
MTHFD1L,AM09,doering module
MTX1,AM09,doering module
NAMPT,AM09,doering module
NBN,AM09,doering module
NCAPD3,AM09,doering module
NDUFV1,AM09,doering module
NHP2,AM09,doering module
NME1-NME2,AM09,doering module
NME7,AM09,doering module
NOP58,AM09,doering module
NSDHL,AM09,doering module
NSUN2,AM09,doering module
NUDCD1,AM09,doering module
NUDCD2,AM09,doering module
NUDT1,AM09,doering module
NUDT5,AM09,doering module
NUP107,AM09,doering module
NUP133,AM09,doering module
NUP155,AM09,doering module
NUP160,AM09,doering module
NUP205,AM09,doering module
NUP37,AM09,doering module
NUP43,AM09,doering module
NUP93,AM09,doering module
NUTF2,AM09,doering module
OR2AP1,AM09,doering module
OSBPL9,AM09,doering module
OXSM,AM09,doering module
PARK7,AM09,doering module
PDIA4,AM09,doering module
PDIA6,AM09,doering module
PEBP1,AM09,doering module
PGD,AM09,doering module
PGM3,AM09,doering module
POLA2,AM09,doering module
POLH,AM09,doering module
POLR2F,AM09,doering module
POLR2J,AM09,doering module
PPA1,AM09,doering module
PPAT,AM09,doering module
PPP1R8,AM09,doering module
PPP4C,AM09,doering module
PRDX3,AM09,doering module
PRELID2,AM09,doering module
PREP,AM09,doering module
PRKAG1,AM09,doering module
PRMT1,AM09,doering module
PSAT1,AM09,doering module
PSMA5,AM09,doering module
PSMB2,AM09,doering module
PSMB3,AM09,doering module
PSMB9,AM09,doering module
PSMC1,AM09,doering module
PSMD1,AM09,doering module
PSMD2,AM09,doering module
PTBP1,AM09,doering module
QARS,AM09,doering module
RANBP1,AM09,doering module
RANGAP1,AM09,doering module
RANGRF,AM09,doering module
RBBP4,AM09,doering module
RBL1,AM09,doering module
RFC2,AM09,doering module
RFC4,AM09,doering module
RFC5,AM09,doering module
RFWD3,AM09,doering module
RIPK3,AM09,doering module
RNPS1,AM09,doering module
RPA1,AM09,doering module
RPN2,AM09,doering module
RPS6KA5,AM09,doering module
RRN3,AM09,doering module
RTN4IP1,AM09,doering module
SAMM50,AM09,doering module
SEC61A1,AM09,doering module
SEMA4D,AM09,doering module
SEPHS1,AM09,doering module
SETD3,AM09,doering module
SF3A1,AM09,doering module
SFMBT1,AM09,doering module
SFXN1,AM09,doering module
SIGMAR1,AM09,doering module
SLC16A1,AM09,doering module
SLC25A11,AM09,doering module
SLC25A17,AM09,doering module
SLC25A5,AM09,doering module
SLC7A5,AM09,doering module
PRELID3B,AM09,doering module
SND1,AM09,doering module
SNRPA1,AM09,doering module
SNRPD2,AM09,doering module
SQLE,AM09,doering module
SSNA1,AM09,doering module
SSRP1,AM09,doering module
STOML2,AM09,doering module
SURF4,AM09,doering module
TAF2,AM09,doering module
TAF9,AM09,doering module
TFRC,AM09,doering module
THG1L,AM09,doering module
TIMM17B,AM09,doering module
TMED9,AM09,doering module
TNFRSF9,AM09,doering module
TRAPPC4,AM09,doering module
TUBA1B,AM09,doering module
TUBB,AM09,doering module
TUBGCP2,AM09,doering module
TUFM,AM09,doering module
TXNDC12,AM09,doering module
TXNL4B,AM09,doering module
UBA2,AM09,doering module
UBR7,AM09,doering module
UBXN8,AM09,doering module
UMPS,AM09,doering module
URB2,AM09,doering module
USP1,AM09,doering module
USP41,AM09,doering module
USP18,AM09,doering module
UXS1,AM09,doering module
VDAC1,AM09,doering module
VPS25,AM09,doering module
WARS,AM09,doering module
WDR1,AM09,doering module
WDR36,AM09,doering module
XRCC6,AM09,doering module
YARS,AM09,doering module
YPEL3,AM09,doering module
ZNHIT3,AM09,doering module
CAMP,AM04,doering module
CD81,AM04,doering module
LCN2,AM04,doering module
MTFMT,AM04,doering module
SLPI,AM04,doering module
KIAA0101,AM10,doering module
KIAA1109,AM10,doering module
AP2S1,AM10,doering module
CENPS,AM10,doering module
ARHGAP11A,AM10,doering module
ARHGAP11B,AM10,doering module
ARHGAP19,AM10,doering module
ARHGAP19-SLIT1,AM10,doering module
ARPC4,AM10,doering module
ASF1B,AM10,doering module
ASPM,AM10,doering module
ATAD5,AM10,doering module
AURKA,AM10,doering module
AURKB,AM10,doering module
B4GALT5,AM10,doering module
BAK1,AM10,doering module
BARD1,AM10,doering module
BCL2,AM10,doering module
BIRC5,AM10,doering module
BLM,AM10,doering module
BRCA1,AM10,doering module
BRIP1,AM10,doering module
BUB1,AM10,doering module
BUB1B,AM10,doering module
KIAA1524,AM10,doering module
CARD6,AM10,doering module
CBX5,AM10,doering module
CBX7,AM10,doering module
CCDC125,AM10,doering module
CCDC34,AM10,doering module
CCNA2,AM10,doering module
CCNB1,AM10,doering module
CCNB2,AM10,doering module
CCNE1,AM10,doering module
CDC20,AM10,doering module
CDC25B,AM10,doering module
CDC6,AM10,doering module
CDCA2,AM10,doering module
CDCA3,AM10,doering module
CDCA8,AM10,doering module
CDK2,AM10,doering module
CDKN2C,AM10,doering module
CDKN3,AM10,doering module
CENPA,AM10,doering module
CENPE,AM10,doering module
CENPF,AM10,doering module
CENPH,AM10,doering module
CENPN,AM10,doering module
CEP55,AM10,doering module
CHAF1A,AM10,doering module
CHAF1B,AM10,doering module
CHEK1,AM10,doering module
CKAP2,AM10,doering module
CKAP2L,AM10,doering module
CKAP5,AM10,doering module
CKS1B,AM10,doering module
CLIC1,AM10,doering module
CLSPN,AM10,doering module
CORO1B,AM10,doering module
CREBL2,AM10,doering module
CRIM1,AM10,doering module
CSRP1,AM10,doering module
CYBA,AM10,doering module
DERA,AM10,doering module
DHCR24,AM10,doering module
DHFR2,AM10,doering module
DHFR,AM10,doering module
DISP1,AM10,doering module
DLGAP5,AM10,doering module
DSCC1,AM10,doering module
DTL,AM10,doering module
DUT,AM10,doering module
DYRK2,AM10,doering module
E2F7,AM10,doering module
E2F8,AM10,doering module
ECT2,AM10,doering module
ELOF1,AM10,doering module
ELOVL1,AM10,doering module
ERCC6L,AM10,doering module
ETFB,AM10,doering module
EZH2,AM10,doering module
FBXO5,AM10,doering module
FDFT1,AM10,doering module
FIGNL1,AM10,doering module
FKBP2,AM10,doering module
FKBP5,AM10,doering module
FLNA,AM10,doering module
FOXM1,AM10,doering module
GEN1,AM10,doering module
GINS1,AM10,doering module
GINS2,AM10,doering module
HMGN4,AM10,doering module
HMGN2,AM10,doering module
GPRASP1,AM10,doering module
GSG2,AM10,doering module
GSR,AM10,doering module
H2AFX,AM10,doering module
HSD17B8,AM10,doering module
HBP1,AM10,doering module
HEATR5B,AM10,doering module
HELLS,AM10,doering module
HIST1H1A,AM10,doering module
HIST1H1B,AM10,doering module
HIST1H2BM,AM10,doering module
HIST1H2BD,AM10,doering module
HIST1H3F,AM10,doering module
HIST1H3A,AM10,doering module
HIST1H4H,AM10,doering module
HIST1H4E,AM10,doering module
HIST1H4I,AM10,doering module
HIST2H2BF,AM10,doering module
HIST2H3A,AM10,doering module
HIST3H2A,AM10,doering module
HMMR,AM10,doering module
IDI1,AM10,doering module
IL7R,AM10,doering module
INCENP,AM10,doering module
ITPR2,AM10,doering module
KIF11,AM10,doering module
KIF14,AM10,doering module
KIF15,AM10,doering module
KIF18A,AM10,doering module
KIF20B,AM10,doering module
KIF22,AM10,doering module
KIF23,AM10,doering module
KIF2C,AM10,doering module
KIF4B,AM10,doering module
KIF4A,AM10,doering module
KLF2,AM10,doering module
KLK8,AM10,doering module
KPNA2,AM10,doering module
L3MBTL3,AM10,doering module
LIG1,AM10,doering module
MAD2L1,AM10,doering module
MAML2,AM10,doering module
MCM10,AM10,doering module
MCM2,AM10,doering module
MCM3,AM10,doering module
MCM4,AM10,doering module
MCM5,AM10,doering module
MCM6,AM10,doering module
MCM7,AM10,doering module
MELK,AM10,doering module
MKI67,AM10,doering module
MTCH1,AM10,doering module
MYBL2,AM10,doering module
MYLIP,AM10,doering module
MYO1G,AM10,doering module
NCAPD2,AM10,doering module
NCAPG,AM10,doering module
NCAPG2,AM10,doering module
NCAPH,AM10,doering module
NDC80,AM10,doering module
NEIL3,AM10,doering module
NEK2,AM10,doering module
NRM,AM10,doering module
NUF2,AM10,doering module
NUSAP1,AM10,doering module
PBK,AM10,doering module
PDE2A,AM10,doering module
PDE7A,AM10,doering module
PHF21A,AM10,doering module
PLK1,AM10,doering module
PMCH,AM10,doering module
PMF1,AM10,doering module
POLE,AM10,doering module
PRC1,AM10,doering module
PRELID1,AM10,doering module
PRIM1,AM10,doering module
PRR11,AM10,doering module
PSMD13,AM10,doering module
PSMD8,AM10,doering module
PTGR1,AM10,doering module
RAB18,AM10,doering module
RABAC1,AM10,doering module
RACGAP1,AM10,doering module
RAD51,AM10,doering module
RAD51C,AM10,doering module
RAD54L,AM10,doering module
RNASEH2B,AM10,doering module
ROM1,AM10,doering module
RPN1,AM10,doering module
RPS13,AM10,doering module
RRM1,AM10,doering module
RRM2,AM10,doering module
SERF2,AM10,doering module
SGO1,AM10,doering module
SHCBP1,AM10,doering module
SLC35A3,AM10,doering module
SLC43A3,AM10,doering module
SMC2,AM10,doering module
SPAG5,AM10,doering module
SPC24,AM10,doering module
SPC25,AM10,doering module
STMN1,AM10,doering module
TACC3,AM10,doering module
TAGLN2,AM10,doering module
TCF19,AM10,doering module
TCP11L2,AM10,doering module
TFDP3,AM10,doering module
TFDP1,AM10,doering module
TIPIN,AM10,doering module
TK1,AM10,doering module
TMEM42,AM10,doering module
TMPO,AM10,doering module
TOP2A,AM10,doering module
TPX2,AM10,doering module
TRIP13,AM10,doering module
TTK,AM10,doering module
TUBA1B,AM10,doering module
TUBB3,AM10,doering module
TUBG1,AM10,doering module
TYMS,AM10,doering module
UBE2C,AM10,doering module
UBE2S,AM10,doering module
UHRF1,AM10,doering module
VPS13D,AM10,doering module
WDHD1,AM10,doering module
WDR76,AM10,doering module
WEE1,AM10,doering module
WHSC1,AM10,doering module
XPNPEP1,AM10,doering module
YWHAE,AM10,doering module
YWHAH,AM10,doering module
ZBTB32,AM10,doering module
ZCCHC7,AM10,doering module
ZDHHC17,AM10,doering module
ZNF831,AM10,doering module
ZMYM5,AM10,doering module
ZRSR2,AM10,doering module
ZRSR1,AM10,doering module
C5orf34,AM01,doering module
KIAA1109,AM01,doering module
AFF4,AM01,doering module
JAML,AM01,doering module
APOBEC3H,AM01,doering module
BBX,AM01,doering module
BRWD1,AM01,doering module
CBLB,AM01,doering module
CCNT2,AM01,doering module
CDH11,AM01,doering module
CHKB-CPT1B,AM01,doering module
CHKB,AM01,doering module
FAM122A,AM01,doering module
GNPDA1,AM01,doering module
HERC3,AM01,doering module
JMJD1C,AM01,doering module
METTL3,AM01,doering module
PARP8,AM01,doering module
PNPLA8,AM01,doering module
RAB11FIP2,AM01,doering module
RBBP6,AM01,doering module
RDH10,AM01,doering module
RICTOR,AM01,doering module
RNF146,AM01,doering module
SGMS1,AM01,doering module
SLC25A36,AM01,doering module
SNORA41,AM01,doering module
SNORD87,AM01,doering module
STX4,AM01,doering module
TPT1,AM01,doering module
TRA2A,AM01,doering module
TXK,AM01,doering module
USP24,AM01,doering module
VEZF1,AM01,doering module
ZBTB44,AM01,doering module
ZCCHC7,AM01,doering module
ZNF451,AM01,doering module
ZNF664,AM01,doering module
ZSWIM6,AM01,doering module
AIF1,AM11,doering module
AKR1E2,AM11,doering module
ALOX5AP,AM11,doering module
ATF3,AM11,doering module
C1orf54,AM11,doering module
C1QB,AM11,doering module
C1QC,AM11,doering module
C3,AM11,doering module
CCL15,AM11,doering module
CCL23,AM11,doering module
CCL15-CCL14,AM11,doering module
CCRL2,AM11,doering module
CD180,AM11,doering module
CD244,AM11,doering module
CD300A,AM11,doering module
CD300C,AM11,doering module
CD74,AM11,doering module
CFB,AM11,doering module
CLEC12A,AM11,doering module
CLEC4A,AM11,doering module
CLEC4D,AM11,doering module
CTSB,AM11,doering module
CTSZ,AM11,doering module
CXCL10,AM11,doering module
CXCL2,AM11,doering module
CXCL3,AM11,doering module
CXCL1,AM11,doering module
CXCL9,AM11,doering module
CYBB,AM11,doering module
F10,AM11,doering module
FCER1G,AM11,doering module
FCGR3B,AM11,doering module
FCGR3A,AM11,doering module
GBP5,AM11,doering module
GNGT2,AM11,doering module
GRN,AM11,doering module
HLA-DQA2,AM11,doering module
HLA-DQA1,AM11,doering module
HLA-DQB1,AM11,doering module
HLA-DQB2,AM11,doering module
HLA-DMB,AM11,doering module
HLA-DRB1,AM11,doering module
HLA-DRB5,AM11,doering module
HMOX1,AM11,doering module
HP,AM11,doering module
HPR,AM11,doering module
IDH1,AM11,doering module
IFI30,AM11,doering module
IFITM1,AM11,doering module
IGSF6,AM11,doering module
IL1B,AM11,doering module
LMO2,AM11,doering module
LST1,AM11,doering module
LY86,AM11,doering module
LYN,AM11,doering module
LYZ,AM11,doering module
MARCKS,AM11,doering module
MPEG1,AM11,doering module
MS4A6A,AM11,doering module
MS4A6E,AM11,doering module
NLRC5,AM11,doering module
NUPR1,AM11,doering module
P2RY13,AM11,doering module
P2RY14,AM11,doering module
PILRA,AM11,doering module
PILRB,AM11,doering module
PLBD1,AM11,doering module
PLIN2,AM11,doering module
PPBP,AM11,doering module
PRKCD,AM11,doering module
PTGS2,AM11,doering module
RETNLB,AM11,doering module
RNASE6,AM11,doering module
SIRPB1,AM11,doering module
SIRPG,AM11,doering module
SIRPA,AM11,doering module
TGFBI,AM11,doering module
TREML4,AM11,doering module
TYROBP,AM11,doering module
ZNF329,AM11,doering module
ABCB1,AM06,doering module
BTG3,AM06,doering module
CHD7,AM06,doering module
COQ10B,AM06,doering module
CPEB2,AM06,doering module
CREM,AM06,doering module
C21orf91,AM06,doering module
DENND4A,AM06,doering module
DHX40,AM06,doering module
DYNLT3,AM06,doering module
ELL2,AM06,doering module
FBXO30,AM06,doering module
GOT1,AM06,doering module
GRAMD1B,AM06,doering module
GRAMD3,AM06,doering module
ICOS,AM06,doering module
IFNGR1,AM06,doering module
IFRD1,AM06,doering module
IMPACT,AM06,doering module
KPNA1,AM06,doering module
LPXN,AM06,doering module
MAFF,AM06,doering module
MAP1LC3B,AM06,doering module
MAP1LC3B2,AM06,doering module
MED11,AM06,doering module
MKRN1,AM06,doering module
NFKBIA,AM06,doering module
NFKBIZ,AM06,doering module
NR4A1,AM06,doering module
NR4A2,AM06,doering module
ODC1,AM06,doering module
PVR,AM06,doering module
RASSF1,AM06,doering module
RGS2,AM06,doering module
RNF19B,AM06,doering module
SAMSN1,AM06,doering module
SLAMF1,AM06,doering module
SLC3A2,AM06,doering module
SMNDC1,AM06,doering module
SNX18,AM06,doering module
SPTY2D1,AM06,doering module
TGIF1,AM06,doering module
TNFAIP3,AM06,doering module
TNFRSF1B,AM06,doering module
VPS37B,AM06,doering module
VTI1A,AM06,doering module
BTG2,AM07,doering module
CPNE3,AM07,doering module
DUSP1,AM07,doering module
IER2,AM07,doering module
PEA15,AM07,doering module
PTPN4,AM07,doering module
RABGAP1L,AM07,doering module
RBL2,AM07,doering module
RBM38,AM07,doering module
RHOB,AM07,doering module
RYBP,AM07,doering module
SPRY2,AM07,doering module
ST8SIA4,AM07,doering module
SYT11,AM07,doering module
TAF1D,AM07,doering module
ZBTB1,AM07,doering module
KIAA1109,CM02,doering module
CXorf21,CM02,doering module
KIAA1033,CM02,doering module
ACADL,CM02,doering module
ACOT7,CM02,doering module
ACTN1,CM02,doering module
AHNAK,CM02,doering module
AIM1,CM02,doering module
AKR1E2,CM02,doering module
ALCAM,CM02,doering module
ANXA1,CM02,doering module
ANXA2,CM02,doering module
ANXA4,CM02,doering module
AP1S2,CM02,doering module
AP3S1,CM02,doering module
ARAP2,CM02,doering module
ARHGAP18,CM02,doering module
ARHGAP26,CM02,doering module
ARL5A,CM02,doering module
ARL5B,CM02,doering module
ARSB,CM02,doering module
ATF6,CM02,doering module
ATP1B1,CM02,doering module
ATP2B4,CM02,doering module
ATXN2,CM02,doering module
B4GALT5,CM02,doering module
BATF,CM02,doering module
C1orf54,CM02,doering module
BCL2A1,CM02,doering module
BHLHE40,CM02,doering module
CA5B,CM02,doering module
CARHSP1,CM02,doering module
CASP3,CM02,doering module
CCDC50,CM02,doering module
CCL18,CM02,doering module
CCL3,CM02,doering module
CCL3L3,CM02,doering module
CCL5,CM02,doering module
